seed	H	W	C
779	21	44	5
780	40	91	3
781	77	30	6
782	68	86	5
783	67	94	5
784	89	38	6
785	34	65	2
786	63	52	3
787	23	88	6
788	66	66	2
789	40	72	4
790	64	72	6
791	16	93	3
792	45	20	4
793	100	90	4
794	85	22	2
795	34	21	3
796	76	77	4
797	10	81	3
798	92	51	2
799	94	84	3
800	84	11	5
801	66	30	3
802	51	36	3
803	29	26	6
804	85	42	4
805	20	82	3
806	52	27	5
807	64	41	3
808	45	100	3
809	93	62	6
810	46	94	2
811	81	86	2
812	84	47	5
813	17	28	2
814	100	51	6
815	98	37	5
816	20	25	2
817	19	74	5
818	62	83	6
819	32	95	5
820	70	91	3
821	26	67	5
822	26	32	5
823	48	78	5
824	53	58	2
825	18	82	3
826	44	78	4
827	88	53	4
828	69	54	2
829	40	73	3
830	86	67	4
831	86	45	2
832	57	64	3
833	86	47	5
834	88	80	2
835	87	42	4
836	20	73	4
837	78	89	4
838	10	61	2
839	16	17	4
840	69	60	3
841	10	52	2
842	24	67	4
843	91	100	6
844	33	50	4
845	98	42	6
846	66	25	2
847	19	54	5
848	86	34	3
849	74	51	3
850	36	60	2
851	51	76	5
852	44	91	2
853	45	22	6
854	18	55	6
855	64	70	4
856	52	67	2
857	22	85	2
858	34	96	6
859	65	48	4
860	16	17	2
861	88	23	5
862	25	48	5
863	83	100	2
864	64	31	5
865	45	62	4
866	52	95	3
867	17	84	2
868	30	25	4
869	39	62	2
870	86	42	6
871	89	62	2
872	49	96	3
873	28	21	5
874	35	34	2
875	12	85	2
876	97	66	6
877	31	30	2
878	33	26	5
879	77	54	6
880	59	16	4
881	22	53	6
882	25	64	6
883	90	14	3
884	94	68	6
885	77	24	3
886	15	10	6
887	13	88	3
888	34	19	5
889	34	38	5
890	90	97	2
891	98	35	5
892	74	49	6
893	50	71	4
894	69	12	5
895	58	37	3
896	64	37	5
897	77	10	2
898	96	94	2
899	35	20	2
900	86	48	6
901	35	36	4
902	52	43	3
903	71	90	2
904	20	72	5
905	87	26	6
906	69	74	5
907	86	58	5
908	17	32	4
909	36	48	6
910	59	44	4
911	52	72	6
912	50	88	2
913	17	80	3
914	63	52	3
915	10	27	5
916	35	78	3
917	89	36	2
918	97	66	4
919	91	78	3
920	72	41	2
921	96	40	2
922	90	59	4
923	41	72	2
924	72	93	3
925	94	54	4
926	15	20	3
927	86	29	6
928	70	73	3
929	58	38	3
930	70	61	2
931	68	96	3
932	73	96	3
933	96	97	2
934	54	97	5
935	39	28	6
936	37	46	4
937	19	10	3
938	36	88	5
939	22	25	2
940	99	42	2
941	81	46	3
942	73	22	4
943	14	48	6
944	47	80	3
945	91	20	3
946	25	68	4
947	80	20	2
948	52	49	3
949	78	19	5
950	82	80	4
951	32	76	3
952	61	24	6
953	16	17	2
954	42	68	4
955	48	94	4
956	94	33	6
957	99	32	3
958	11	90	6
959	52	94	6
960	63	84	2
961	90	47	5
962	19	52	6
963	19	56	2
964	27	70	3
965	37	70	4
966	91	10	2
967	61	90	5
968	76	64	2
969	34	59	4
970	21	16	5
971	36	30	4
972	12	82	3
973	12	65	3
974	96	37	5
975	55	58	2
976	55	14	6
977	46	20	5
978	76	12	3
979	24	76	3
980	56	63	6
981	44	79	6
982	24	93	3
983	25	98	3
984	83	36	4
985	90	47	4
986	77	54	4
987	85	68	2
988	60	61	6
989	94	57	4
990	92	13	4
991	59	100	4
992	19	32	4
993	64	79	3
994	69	24	5
995	37	94	6
996	22	21	5
997	16	22	6
998	35	100	6
999	46	87	6
1000	88	89	2
1001	15	74	4
1002	82	49	4
1003	39	36	3
1004	29	14	5
1005	58	93	4
1006	88	79	5
1007	78	51	5
1008	51	26	3
1009	18	53	4
1010	10	67	2
1011	14	18	5
1012	78	87	3
1013	55	62	6
1014	87	62	2
1015	65	64	3
1016	11	84	4
1017	43	50	3
1018	26	12	5
1019	48	58	5
1020	98	32	4
1021	28	30	5
1022	63	34	2
1023	34	46	2
1024	39	52	5
1025	38	39	2
1026	21	72	4
1027	39	54	6
1028	84	77	5
1029	50	33	6
1030	23	24	6
1031	12	59	4
1032	60	51	4
1033	53	40	2
1034	24	79	2
1035	53	64	3
1036	30	82	5
1037	22	65	6
1038	31	86	5
1039	80	92	6
1040	44	91	6
1041	16	68	3
1042	54	35	6
1043	68	41	2
1044	79	56	2
1045	11	64	4
1046	40	43	5
1047	19	94	2
1048	100	12	4
1049	86	61	5
1050	82	43	3
1051	62	47	4
1052	64	45	5
1053	80	93	2
1054	60	47	3
1055	53	58	4
1056	21	64	3
1057	51	58	3
1058	74	59	3
1059	70	33	3
1060	13	64	2
1061	98	73	5
1062	59	84	3
1063	86	74	4
1064	40	49	3
1065	41	40	5
1066	100	15	6
1067	88	52	2
1068	94	72	5
1069	95	42	4
1070	33	30	5
1071	54	98	6
1072	50	100	6
1073	94	86	5
1074	76	11	4
1075	46	77	4
1076	98	36	4
1077	28	16	4
1078	63	76	3
1079	10	77	2
1080	27	48	6
1081	100	55	2
1082	40	80	4
1083	64	60	5
1084	25	96	2
1085	24	15	2
1086	17	60	3
1087	12	70	4
1088	85	50	6
1089	43	40	2
1090	86	73	2
1091	16	18	5
1092	27	66	2
1093	10	35	3
1094	82	54	2
1095	12	47	2
1096	36	85	2
1097	75	16	4
1098	56	23	6
1099	56	30	3
1100	55	52	6
1101	99	82	4
1102	18	87	3
1103	72	79	6
1104	46	85	5
1105	78	18	3
1106	16	20	3
1107	73	74	3
1108	10	60	6
1109	86	91	6
1110	94	30	6
1111	67	70	3
1112	74	35	5
1113	52	74	2
1114	86	63	3
1115	46	19	3
1116	17	48	2
1117	58	29	4
1118	46	11	5
1119	27	44	4
1120	22	57	6
1121	90	62	3
1122	22	77	6
1123	56	93	3
1124	41	76	4
1125	30	87	2
1126	18	92	4
1127	12	30	6
1128	76	77	6
1129	36	13	3
1130	18	69	2
1131	75	16	5
1132	96	73	2
1133	99	28	3
1134	100	16	4
1135	70	13	5
1136	88	19	3
1137	85	96	4
1138	35	40	3
1139	99	34	4
1140	80	92	6
1141	54	16	4
1142	98	46	5
1143	64	37	4
1144	45	76	3
1145	67	28	5
1146	76	69	5
1147	69	64	3
1148	73	96	4
1149	35	24	4
1150	51	66	6
1151	35	62	5
1152	70	89	2
1153	18	41	5
1154	31	16	4
1155	54	37	3
1156	66	75	6
1157	19	78	5
1158	54	74	3
1159	85	40	3
1160	86	64	4
1161	46	46	3
1162	14	86	2
1163	78	76	4
1164	52	90	4
1165	65	34	3
1166	24	83	6
1167	75	28	3
1168	45	46	4
1169	10	76	4
1170	11	62	2
1171	50	100	4
1172	23	92	5
1173	60	42	2
1174	37	72	5
1175	92	64	4
1176	99	64	4
1177	54	57	2
1178	96	15	6
1179	36	94	3
1180	44	35	4
1181	42	27	4
1182	38	65	3
1183	14	52	6
1184	59	26	6
1185	46	66	4
1186	76	71	2
1187	12	71	6
1188	88	95	6
1189	50	78	6
1190	94	37	3
1191	33	60	4
1192	27	84	5
1193	56	42	3
1194	34	35	4
1195	52	57	5
1196	17	20	6
1197	67	82	5
1198	93	82	5
1199	27	64	6
1200	75	76	6
1201	30	57	4
1202	10	84	5
1203	28	41	6
1204	18	99	6
1205	40	73	2
1206	39	100	2
1207	79	16	4
1208	95	34	2
1209	48	82	3
1210	54	37	5
1211	94	24	2
1212	46	17	4
1213	88	70	4
1214	41	46	3
1215	66	45	6
1216	42	88	6
1217	23	90	3
1218	46	21	5
1219	55	28	6
1220	94	14	6
1221	29	10	3
1222	95	48	3
1223	41	62	2
1224	51	86	2
1225	72	77	4
1226	57	86	6
1227	76	83	6
1228	68	65	3
1229	84	41	6
1230	31	96	4
1231	52	94	6
1232	12	43	4
1233	62	22	3
1234	99	54	2
1235	35	42	6
1236	58	49	6
1237	31	52	5
1238	64	59	5
1239	64	69	6
1240	39	40	5
1241	65	36	5
1242	32	66	6
1243	88	77	4
1244	44	74	3
1245	97	20	6
1246	42	32	6
1247	12	15	5
1248	98	84	2
1249	10	45	6
1250	22	88	5
1251	38	85	2
1252	12	74	4
1253	66	89	4
1254	28	44	4
1255	88	23	2
1256	54	71	5
1257	36	45	4
1258	64	39	2
1259	16	64	3
1260	21	26	5
1261	54	33	2
1262	74	70	2
1263	40	39	4
1264	46	87	4
1265	57	38	4
1266	40	70	2
1267	72	47	5
1268	84	37	5
1269	84	55	4
1270	20	35	2
1271	74	76	2
1272	17	70	2
1273	13	68	2
1274	96	13	4
1275	34	61	3
1276	91	74	5
1277	74	28	2
1278	36	96	5
1279	34	33	4
1280	86	87	5
1281	42	11	2
1282	65	70	6
1283	68	86	3
1284	35	88	2
1285	62	22	6
1286	81	84	5
1287	100	20	5
1288	30	87	2
1289	68	61	6
1290	24	35	6
1291	64	84	4
1292	74	42	4
1293	69	22	6
1294	93	94	2
1295	30	49	6
1296	15	100	6
1297	95	78	5
1298	96	87	5
1299	51	70	6
1300	59	28	3
1301	29	28	5
1302	64	18	3
1303	95	72	6
1304	55	62	2
1305	21	92	2
1306	51	98	5
1307	69	18	5
1308	50	24	5
1309	92	83	2
1310	54	41	6
1311	30	47	4
1312	52	46	5
1313	23	44	2
1314	86	35	6
1315	62	78	6
1316	91	88	3
1317	71	56	4
1318	47	24	5
1319	60	64	5
1320	88	67	2
1321	17	38	6
1322	64	80	3
1323	46	42	6
1324	24	36	4
1325	21	94	3
1326	67	70	3
1327	86	53	2
1328	87	26	2
1329	19	36	4
1330	71	70	5
1331	82	92	2
1332	81	82	4
1333	22	26	5
1334	23	32	2
1335	65	16	4
1336	97	92	6
1337	71	22	2
1338	76	15	3
1339	76	95	4
1340	60	33	6
1341	88	57	6
1342	69	20	4
1343	78	32	4
1344	14	77	4
1345	97	50	2
1346	19	56	3
1347	49	98	6
1348	82	34	5
1349	24	12	2
1350	54	25	5
1351	18	78	2
1352	86	73	3
1353	34	75	6
1354	37	62	4
1355	45	90	2
1356	100	45	5
1357	28	26	6
1358	45	52	3
1359	76	40	4
1360	32	55	6
1361	31	24	5
1362	24	53	3
1363	31	14	2
1364	48	100	6
1365	49	82	4
1366	100	22	3
1367	56	31	3
1368	77	40	3
1369	91	30	2
1370	77	32	6
1371	22	78	6
1372	71	94	2
1373	89	10	2
1374	44	11	4
1375	54	26	3
1376	95	58	5
1377	26	12	3
1378	77	62	5
1379	12	75	4
1380	25	64	4
1381	49	44	4
1382	22	25	5
1383	81	20	2
1384	24	13	3
1385	66	95	3
1386	93	90	2
1387	69	90	6
1388	68	46	3
1389	32	51	6
1390	91	90	4
1391	99	52	2
1392	51	92	6
1393	10	100	3
1394	100	33	6
1395	91	88	5
1396	15	52	5
1397	78	59	3
1398	94	97	5
1399	65	22	6
1400	49	66	5
1401	35	38	3
1402	86	98	6
1403	75	86	6
1404	54	11	2
1405	74	81	5
1406	22	97	6
1407	40	64	3
1408	85	86	4
1409	96	64	6
1410	74	55	4
1411	62	69	2
1412	92	86	3
1413	13	54	2
1414	18	40	5
1415	84	66	5
1416	24	63	3
1417	23	84	6
1418	98	65	3
1419	49	74	5
1420	68	99	3
1421	24	21	4
1422	49	24	2
1423	22	93	4
1424	69	56	5
1425	82	35	2
1426	20	59	4
1427	46	21	3
1428	22	76	3
1429	62	68	6
1430	45	38	5
1431	75	44	2
1432	52	97	5
1433	35	92	5
1434	45	72	3
1435	98	80	6
1436	10	73	4
1437	60	55	4
1438	85	32	2
1439	94	86	3
1440	89	38	5
1441	78	59	5
1442	16	68	5
1443	62	35	6
1444	74	72	3
1445	50	99	5
1446	18	89	5
1447	93	16	4
1448	14	30	5
1449	26	93	5
1450	92	55	3
1451	97	38	6
1452	88	46	2
1453	85	80	4
1454	19	44	3
1455	78	17	4
1456	93	46	2
1457	74	34	3
1458	53	18	6
1459	44	99	2
1460	60	75	2
1461	82	14	5
1462	23	36	2
1463	56	81	2
1464	85	44	3
1465	60	67	5
1466	31	38	4
1467	21	14	6
1468	99	24	6
1469	20	87	6
1470	10	93	3
1471	84	45	4
1472	79	16	6
1473	31	74	6
1474	99	50	4
1475	91	72	6
1476	28	12	6
1477	41	58	6
1478	36	62	2
1479	73	68	5
1480	46	62	5
1481	91	86	2
1482	82	34	3
1483	46	60	4
1484	80	71	6
1485	51	30	5
1486	100	41	2
1487	81	14	2
1488	50	97	3
1489	58	90	6
1490	97	82	2
1491	82	13	5
1492	26	33	4
1493	32	65	3
1494	84	51	6
1495	34	65	3
1496	92	75	2
1497	54	17	5
1498	19	84	3
1499	50	12	6
1500	84	83	6
1501	80	89	4
1502	50	45	5
1503	85	96	5
1504	67	10	3
1505	55	66	3
1506	80	25	5
1507	40	87	6
1508	68	93	3
1509	63	90	5
1510	45	36	2
1511	25	58	5
1512	51	88	4
1513	47	54	6
1514	41	54	4
1515	56	57	2
1516	80	67	3
1517	46	54	6
1518	20	92	3
1519	67	62	3
1520	66	41	4
1521	68	53	4
1522	73	60	6
1523	39	36	2
1524	90	71	3
1525	28	57	6
1526	90	55	4
1527	96	33	2
1528	61	12	6
1529	78	77	6
1530	33	80	2
1531	89	64	2
1532	64	36	2
1533	66	45	3
1534	58	73	5
1535	50	59	2
1536	30	56	6
1537	47	68	5
1538	58	19	6
1539	64	85	5
1540	88	92	6
1541	92	59	4
1542	17	64	2
1543	16	55	5
1544	100	71	4
1545	60	100	6
1546	76	73	5
1547	58	64	5
1548	51	40	6
1549	74	100	5
1550	30	71	4
1551	15	64	2
1552	36	99	2
1553	66	83	2
1554	13	84	2
1555	89	14	4
1556	12	42	2
1557	57	72	6
1558	97	60	6
1559	97	76	3
1560	42	11	5
1561	74	68	6
1562	50	77	6
1563	80	34	6
1564	80	69	6
1565	61	96	5
1566	64	46	4
1567	79	42	3
1568	43	86	2
1569	44	60	5
1570	42	37	2
1571	69	48	5
1572	55	64	4
1573	38	37	5
1574	40	74	6
1575	74	71	3
1576	66	73	4
1577	93	100	4
1578	68	45	4
1579	78	67	6
1580	84	42	6
1581	60	84	2
1582	25	80	2
1583	72	44	3
1584	46	61	3
1585	60	29	6
1586	17	50	3
1587	40	78	2
1588	18	67	4
1589	66	22	2
1590	71	66	2
1591	77	14	6
1592	86	80	6
1593	94	77	2
1594	11	48	2
1595	26	55	2
1596	57	68	4
1597	19	68	5
1598	46	16	5
1599	31	36	4
1600	24	94	3
1601	10	59	3
1602	28	96	3
1603	59	72	2
1604	61	28	3
1605	77	38	5
1606	25	52	2
1607	72	85	5
1608	32	37	6
1609	18	53	4
1610	56	97	2
1611	93	30	2
1612	67	74	2
1613	59	78	4
1614	73	84	3
1615	30	98	6
1616	38	11	5
1617	82	27	4
1618	47	40	2
1619	28	100	4
1620	35	82	5
1621	85	76	2
1622	77	58	5
1623	64	10	3
1624	52	58	6
1625	50	20	4
1626	94	95	2
1627	88	31	2
1628	86	18	5
1629	58	97	4
1630	48	91	5
1631	86	33	2
1632	14	70	3
1633	98	48	2
1634	86	97	6
1635	96	54	5
1636	10	84	2
1637	35	30	5
1638	54	80	3
1639	40	70	3
1640	90	25	6
1641	27	54	2
1642	55	80	5
1643	26	84	4
1644	79	60	6
1645	56	54	3
1646	19	94	6
1647	87	100	5
1648	54	13	3
1649	43	56	3
1650	72	97	3
1651	50	62	2
1652	84	91	4
1653	48	95	5
1654	77	46	6
1655	22	99	3
1656	21	100	3
1657	13	86	4
1658	51	90	5
1659	86	43	2
1660	60	25	2
1661	36	13	6
1662	42	60	3
1663	37	44	5
1664	51	84	3
